dataset_id,indicator_id,academic_year,academic_year_start,academic_year_end,university_area,sex,first_year_enrolments,unit,source,notes
university_mur_ustat,university_first_year_enrolments,2023/2024,2023,2024,Altro Lombardia,Female,31253,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2023/2024,2023,2024,Altro Lombardia,Male,25951,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2023/2024,2023,2024,Altro Lombardia,Total,57204,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2023/2024,2023,2024,Bergamo,Female,2197,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2023/2024,2023,2024,Bergamo,Male,1450,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2023/2024,2023,2024,Bergamo,Total,3647,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2024/2025,2024,2025,Altro Italia,Female,366510,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2024/2025,2024,2025,Altro Italia,Male,291292,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2024/2025,2024,2025,Altro Italia,Total,657802,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2024/2025,2024,2025,Altro Lombardia,Female,32625,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2024/2025,2024,2025,Altro Lombardia,Male,26971,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2024/2025,2024,2025,Altro Lombardia,Total,59596,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2024/2025,2024,2025,Bergamo,Female,2255,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2024/2025,2024,2025,Bergamo,Male,1571,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2024/2025,2024,2025,Bergamo,Total,3826,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
